58.61, 1.49, 94.51,0.00, 270.00, 0.00
58.61, 1.49, 94.51,0.02, 270.00, 0.00
58.61, 1.49, 94.51,0.04, 270.00, 0.00
58.61, 1.49, 94.51,0.06, 270.00, 0.00
58.62, 1.49, 94.51,0.08, 270.00, 0.00
58.62, 1.49, 94.51,0.11, 270.00, 0.00
58.63, 1.49, 94.51,0.13, 270.00, 0.00
58.63, 1.49, 94.51,0.15, 270.00, 0.00
58.64, 1.49, 94.51,0.17, 270.00, 0.00
58.65, 1.49, 94.51,0.19, 270.00, 0.00
58.66, 1.49, 94.51,0.20, 270.00, 0.00
58.67, 1.49, 94.51,0.21, 270.00, 0.00
58.68, 1.49, 94.51,0.22, 270.00, 0.00
58.70, 1.49, 94.51,0.23, 270.00, 0.00
58.71, 1.49, 94.51,0.23, 270.00, 0.00
58.72, 1.49, 94.51,0.24, 270.00, 0.00
58.74, 1.49, 94.51,0.24, 270.00, 0.00
58.76, 1.49, 94.51,0.25, 270.00, 0.00
58.78, 1.49, 94.51,0.25, 270.00, 0.00
58.79, 1.49, 94.51,0.25, 270.00, 0.00
58.82, 1.49, 94.51,0.25, 270.00, 0.00
58.84, 1.49, 94.51,0.25, 270.00, 0.00
58.86, 1.49, 94.51,0.25, 270.00, 0.00
58.88, 1.49, 94.51,0.25, 270.00, 0.00
58.91, 1.49, 94.51,0.25, 270.00, 0.00
58.93, 1.49, 94.51,0.25, 270.00, 0.00
58.96, 1.49, 94.51,0.25, 270.00, 0.00
58.99, 1.49, 94.51,0.25, 270.00, 0.00
59.01, 1.49, 94.51,0.25, 270.00, 0.00
59.04, 1.49, 94.51,0.25, 270.00, 0.00
59.07, 1.49, 94.51,0.25, 270.00, 0.00
59.11, 1.49, 94.51,0.25, 270.00, 0.00
59.14, 1.49, 94.51,0.25, 270.00, 0.00
59.17, 1.49, 94.51,0.25, 270.00, 0.00
59.21, 1.49, 94.51,0.25, 270.00, 0.00
59.24, 1.49, 94.51,0.25, 270.00, 0.00
59.28, 1.49, 94.51,0.25, 270.00, 0.00
59.32, 1.49, 94.51,0.25, 270.00, 0.00
